1, 2, 3, 4, 5, avg, abs, perc
0.80, 0.85, 0.85, 0.80, 0.80, 0.82, 0.05, 0.06
1.20, 1.20, 1.20, 1.15, 1.15, 1.18, 0.05, 0.04
1.50, 1.55, 1.50, 1.50, 1.50, 1.51, 0.05, 0.03
1.75, 1.75, 1.75, 1.75, 1.75, 1.75, 0.01, 0.01
2.05, 1.95, 2.00, 1.95, 1.95, 1.98, 0.10, 0.05
